datetime,temp,dew,humidity,precip,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,solarradiation,solarenergy,uvindex,severerisk
2024-10-22T00:00:00,61.8,48.8,62.35,0,,0,0,8.1,6.7,213,1020.7,0,0,0,0,10
2024-10-22T01:00:00,66.4,49.9,55.16,0,,0,0,6.9,4.6,291,1021,0,0,0,0,10
2024-10-22T02:00:00,58.6,48.7,69.7,0,,0,0,9.2,4.5,204,1021.4,0,0,0,0,10
2024-10-22T03:00:00,58.7,51,75.74,0,,0,0,8.1,0,0,1021.6,0,0,0,0,10
2024-10-22T04:00:00,62.7,51,65.65,0,,0,0,6.9,5.7,282,1021.9,0,0,0,0,10
2024-10-22T05:00:00,60.7,51,70.29,0,,0,0,6.9,3.3,292,1022.3,24.4,0,0,0,10
2024-10-22T06:00:00,60.7,51,70.28,0,,0,0,6.9,3.3,301,1023,24.4,0,0,0,10
2024-10-22T07:00:00,61.8,51,67.71,0,,0,0,6.9,4.6,301,1023.5,24.4,0,0,0,10
2024-10-22T08:00:00,60.8,51.9,72.58,0,,0,0,6.9,3.3,311,1024.3,24.4,38,0.1,0,10
2024-10-22T09:00:00,65.7,52,61.24,0,,0,0,6.9,5.7,340,1024.9,24.4,68,0.2,1,10
2024-10-22T10:00:00,70,52.1,52.94,0,,0,0,8.1,7.9,29,1025.1,24.4,396,1.4,4,10
2024-10-22T11:00:00,71.2,52.1,50.79,0,,0,0,9.2,10.2,60,1025.4,24.4,501,1.8,5,10
2024-10-22T12:00:00,70.2,53.1,54.66,0,,0,0,9.2,9.1,80,1025.5,24.4,156,0.6,2,10
2024-10-22T13:00:00,70.3,52.1,52.52,0,,0,0,9.2,9.1,69,1025,24.4,38,0.1,0,10
2024-10-22T14:00:00,67.1,53.1,60.87,0,,0,0,9.2,12.6,69,1024.7,24.4,28,0.1,0,10
2024-10-22T15:00:00,64.4,54,68.95,0,,0,0,9.2,9.2,70,1024.4,24.4,22,0.1,0,10
2024-10-22T16:00:00,63.3,53.1,69.42,0,,0,0,9.2,9.1,70,1024,24.4,19,0.1,0,10
2024-10-22T17:00:00,61.3,54,76.92,0,,0,0,9.2,9.1,60,1023.9,24.4,12,0,0,10
2024-10-22T18:00:00,58,54,86.52,0,,0,0,9.2,8,70,1023.8,24.4,0,0,0,10
2024-10-22T19:00:00,57.9,54,86.9,0,,0,0,8.1,4.6,60,1024.1,24.4,0,0,0,10
2024-10-22T20:00:00,56.9,54,89.92,0,,0,0,5.8,4.6,30,1024.1,24.4,0,0,0,10
2024-10-22T21:00:00,56.9,54,89.95,0,,0,0,5.8,3.3,78,1024.3,24.4,0,0,0,10
2024-10-22T22:00:00,55.9,53.9,92.96,0,,0,0,4.7,4.6,49,1024.4,24.4,0,0,0,10
2024-10-22T23:00:00,55.9,53.9,92.95,0,,0,0,4.7,3.3,59,1024,50.1,0,0,0,10
2024-10-23T00:00:00,55.9,53.9,93.09,0,,0,0,4.7,0,0,1023.4,50.1,0,0,0,10
2024-10-23T01:00:00,48.3,46,91.44,0,,0,0,4.7,0,0,1023.4,53.4,0,0,0,10
2024-10-23T02:00:00,54.9,53.8,96.06,0,,0,0,6.9,0,0,1022.3,51.1,0,0,0,10
2024-10-23T03:00:00,53.9,53,96.67,0,,0,0,8.1,0,0,1021.9,51.2,0,0,0,10
2024-10-23T04:00:00,53,51,92.97,0,,0,0,10.3,0,0,1021.3,51.2,0,0,0,10
2024-10-23T05:00:00,53.9,53,96.71,0,,0,0,11.4,0,0,1021,51.2,0,0,0,10
2024-10-23T06:00:00,52,51.1,96.67,0,,0,0,12.8,5.7,176,1020.9,51.2,0,0,0,10
2024-10-23T07:00:00,53,51.9,96.08,0,,0,0,13.9,3.3,146,1020.3,26.8,0,0,0,10
2024-10-23T08:00:00,53,53,99.82,0,,0,0,15,3.3,204,1020.2,26.8,37,0.1,0,10
2024-10-23T09:00:00,56,56,99.87,0,,0,0,18.3,4.7,192,1019.9,24.7,69,0.2,1,10
2024-10-23T10:00:00,63.1,55.1,75.22,0,,0,0,19.5,9.2,190,1019.3,24.4,404,1.5,4,10
2024-10-23T11:00:00,69.2,52.1,54.47,0,,0,0,21.9,9.2,190,1018.5,24.7,510,1.8,5,10
2024-10-23T12:00:00,73.2,49.9,43.87,0,,0,0,18.3,13.8,190,1017.5,24.7,67,0.2,1,10
2024-10-23T13:00:00,75.9,47.1,36.04,0,,0,0,21.9,14.9,210,1016.1,24.4,41,0.1,0,10
2024-10-23T14:00:00,78.2,47.9,34.46,0,,0,0,25.3,13.9,200,1014.8,24.4,30,0.1,0,10
2024-10-23T15:00:00,78.2,48,34.6,0,,0,0,29.9,15,220,1013.8,24.4,24,0.1,0,10
2024-10-23T16:00:00,76.9,55.1,46.96,0,,0,0,27.7,16.1,210,1013.1,49.1,19,0.1,0,10
2024-10-23T17:00:00,74,56.1,53.47,0,,0,0,28.8,20.7,220,1012.6,49.1,16,0.1,0,10
2024-10-23T18:00:00,69.2,56.9,65.03,0,,0,0,22.3,18.1,190,1013.1,49.9,0,0,0,10
2024-10-23T19:00:00,66.9,57.8,72.7,0,,0,0,19.4,16,200,1013.1,24.4,0,0,0,10
2024-10-23T20:00:00,65.1,56.9,74.99,0,,0,0,25.2,17.1,200,1012.9,0,0,0,0,10
2024-10-23T21:00:00,64.1,56.9,77.38,0,,0,0,21.9,15.9,210,1012.4,0,0,0,0,10
2024-10-23T22:00:00,63.1,56,77.82,0,,0,0,21.9,11.3,210,1012.2,0,0,0,0,10
2024-10-23T23:00:00,62.2,56,80.3,0,,0,0,16.1,9.1,210,1012,0,0,0,0,10
2024-10-24T00:00:00,61.1,56,83.45,0,,0,0,13.9,9.1,190,1011.5,25.4,0,0,0,10
2024-10-24T01:00:00,60.2,56,86.2,0,,0,0,11.4,8,219,1011.1,25.8,0,0,0,10
2024-10-24T02:00:00,58.9,56,90.12,0,,0,0,11.4,7.9,221,1010.9,25.7,0,0,0,3
2024-10-24T03:00:00,58.8,56,90.12,0,,0,0,10.3,7.9,223,1010.3,25.8,0,0,0,3
2024-10-24T04:00:00,58.8,56.8,93.11,0,,0,0,10.3,6.8,176,1010.3,88.2,0,0,0,10
2024-10-24T05:00:00,56.8,55.9,96.73,0,,0,0,9.2,3.3,204,1010.2,26.7,0,0,0,10
2024-10-24T06:00:00,60.8,55.9,83.7,0,,0,0,10.3,10.1,290,1010.3,51.2,0,0,0,3
2024-10-24T07:00:00,62,55.9,80.6,0,,0,0,15,11.1,311,1010.3,88.2,0,0,0,10
2024-10-24T08:00:00,62.9,54,72.89,0,,0,0,17.2,11.1,321,1010.8,88.2,20,0.1,0,10
2024-10-24T09:00:00,64.1,54.1,70.03,0,,0,0,18.3,12.5,340,1011.1,87.4,79,0.3,1,10
2024-10-24T10:00:00,66.8,54,63.43,0,,0,0,19.5,11.3,340,1011.6,86.9,357,1.3,4,10
2024-10-24T11:00:00,69.2,53.1,56.58,0,,0,0,20.8,13.8,340,1011.1,24.4,466,1.7,5,10
2024-10-24T12:00:00,70.1,52,52.7,0,,0,0,23.5,14.9,360,1010.8,24.4,213,0.8,2,10
2024-10-24T13:00:00,70.1,51.1,50.98,0,,0,0,20.5,10.3,350,1010.9,87.5,116,0.4,1,10
2024-10-24T14:00:00,67.9,48.8,50.28,0,,0,0,20.8,13.8,330,1010.8,88.2,128,0.5,1,10
2024-10-24T15:00:00,67.9,46.1,45.51,0,rain,0,0,23,14.9,321,1011,88.2,95,0.3,1,10
2024-10-24T16:00:00,67.9,45,43.64,0,,0,0,19.7,12.7,350,1011.5,88,38,0.1,0,10
2024-10-24T17:00:00,66,44.1,45.19,0,,0,0,18.3,12.6,340,1012.1,50.2,22,0.1,0,10
2024-10-24T18:00:00,65,43,44.87,0,,0,0,18.3,10.2,310,1012.6,24.4,0,0,0,10
2024-10-24T19:00:00,64,42.1,44.77,0,,0,0,15,10.2,330,1013.6,25.7,0,0,0,10
2024-10-24T20:00:00,61,40.9,47.38,0,,0,0,17.2,13.7,330,1014.3,26.2,0,0,0,10
2024-10-24T21:00:00,58.9,38.9,47.46,0,,0,0,23,13.7,320,1014.9,48.8,0,0,0,10
2024-10-24T22:00:00,56.9,38.9,50.91,0,,0,0,20.8,9.1,330,1015.6,49.1,0,0,0,10
2024-10-24T23:00:00,55.1,38.9,54.34,0,,0,0,20.8,12.6,320,1016.4,24.7,0,0,0,10
2024-10-25T00:00:00,53.1,38,56.43,0,,0,0,16.1,9.1,330,1016.6,0,0,0,0,10
2024-10-25T01:00:00,51.1,38,60.73,0,,0,0,16.1,11.3,330,1016.9,0,0,0,0,10
2024-10-25T02:00:00,49.8,37.1,61.51,0,,0,0,15,10.1,330,1017.2,0,0,0,0,10
2024-10-25T03:00:00,48.7,37.1,64.11,0,,0,0,15,10.2,310,1017.3,0,0,0,0,10
2024-10-25T04:00:00,47,37.1,68.35,0,,0,0,13.9,8,320,1018,0.3,0,0,0,10
2024-10-25T05:00:00,46.9,36,65.66,0,,0,0,13.9,10.1,320,1018.4,0,0,0,0,10
2024-10-25T06:00:00,45.9,35.1,65.72,0,,0,0,12.8,11.2,310,1018.6,0,0,0,0,10
2024-10-25T07:00:00,45.9,35.1,65.74,0,,0,0,12.8,12.4,311,1019.4,24.4,0,0,0,10
2024-10-25T08:00:00,45.9,35.1,65.78,0,,0,0,12.8,10,321,1019.9,24.4,19,0.1,0,10
2024-10-25T09:00:00,48.8,35.2,59.16,0,,0,0,11.4,7.9,340,1020.2,24.4,55,0.2,1,10
2024-10-25T10:00:00,52.1,33.2,48.44,0,,0,0,10.3,9.1,341,1020.5,24.4,337,1.2,3,10
2024-10-25T11:00:00,54.1,33.2,44.93,0,,0,0,9.2,6.9,70,1020,24.4,481,1.7,5,10
2024-10-25T12:00:00,55.2,34,44.69,0,,0,0,8.1,6.8,0,1019.5,0,494,1.8,5,10
2024-10-25T13:00:00,55.2,36,48.19,0,,0,0,6.9,8,118,1018.5,0,56,0.2,1,10
2024-10-25T14:00:00,55.3,37,50.18,0,,0,0,6.9,9.1,123,1017.5,24.4,27,0.1,0,10
2024-10-25T15:00:00,56.2,37.9,50.22,0,,0,0,6.9,9.1,112,1017,24.4,23,0.1,0,10
2024-10-25T16:00:00,55.3,38.7,53.6,0,,0,0,6.9,11.2,113,1016.5,24.4,19,0.1,0,10
2024-10-25T17:00:00,54.2,40.7,60.1,0,,0,0,6.9,12.6,113,1016.3,24.4,13,0,0,10
2024-10-25T18:00:00,53.2,40.7,62.47,0,,0,0,6.9,11.2,131,1016.2,24.4,2,0,0,10
2024-10-25T19:00:00,54.9,38.9,54.68,0,,0,0,6.9,5.8,170,1016,27,34,0.1,0,10
2024-10-25T20:00:00,54.1,38,54.55,0,,0,0,6.9,5.8,190,1016,35,28,0.1,0,10
2024-10-25T21:00:00,52.1,38.9,60.76,0,,0,0,8.1,5.8,210,1017,37,0,0,0,10
2024-10-25T22:00:00,52.1,38.9,60.76,0,,0,0,8.1,6.9,220,1016,40,0,0,0,10
2024-10-25T23:00:00,51,38,61.04,0,,0,0,8.1,6.9,230,1016,26,0,0,0,10
